username,userdesc,userurl,userpic,userlocation,userfollowing,userfollowers,usertotaltweets,usercreatedts,tweetid,tweetcreatedts,tweetretweetcount,tweetfavcount,tweeturls,tweethashtags,tweetmentions,tweettext,tweettextcleaned,sentic_polarity,sentic_concept
DavidoHarryj,♥️♥️💕,,https://pbs.twimg.com/profile_images/1494086760703348736/Gnjn4qWU_normal.jpg,"Michigan, USA",26,3,207,2022-02-16 23:03:08,1499681327972589573,2022-03-04 09:41:05,96,0,,,,"#Democrats blame #inflation on price gouging caused by a lack of competition. In reality, it's Congress and the #Fed that are gouging both businesses and consumers with inflation. Ironically, it's also excessive government regulation and taxation that have reduced competition!","Democrats blame inflation on price gouging caused by a lack of competition. In reality, it's Congress and the Fed that are gouging both businesses and consumers with inflation. Ironically, it's also excessive government regulation and taxation that have reduced competition!",NEGATIVE,"['price', 'blame', 'inflation', 'gouge', NOT 'competition', 'reality', 'businesse', 'ironically', 'excessive', 'govern', 'regulation', 'taxation']"
DavidoHarryj,♥️♥️💕,,https://pbs.twimg.com/profile_images/1494086760703348736/Gnjn4qWU_normal.jpg,"Michigan, USA",26,3,207,2022-02-16 23:03:08,1499681319659491329,2022-03-04 09:41:03,190,0,,,,"The only way to avoid a bond market crash, and prop up the economy and the stock market, would be for the #Fed to abandon its plan to shrink its balance sheet and launch a new round of QE. That policy reversal will sink the dollar instead, sending #inflation soaring. Checkmate!","The only way to avoid a bond market crash, and prop up the economy and the stock market, would be for the Fed to abandon its plan to shrink its balance sheet and launch a new round of QE. That policy reversal will sink the dollar instead, sending inflation soaring. Checkmate!",POSITIVE,"['balance sheet', 'avoid', 'crash', 'economy', 'abandon', 'shrink', 'new', 'policy', 'reversal', 'sink', 'dollar', NOT 'steady', 'inflation', 'soaring', 'checkmate']"
education_24x7,"All education content. Education changes the life.
Software Developer| ML | DS | Technical Blogging at https://t.co/WNErKjwYtH |",https://t.co/e6rkb3X12F,https://pbs.twimg.com/profile_images/1387823590649724931/aQPAm5FU_normal.jpg,Delhi,7,5986,505272,2020-08-18 13:32:42,1499680390491029504,2022-03-04 09:37:22,1,0,"['https://t.co/0ifdElslHZ', 'https://t.co/jMP9yX3COp']",,['@DawnoftheDAO'],"Check out our latest video 
""WBB Macro Outlook Ep. 10 Non-Monetary Factors Limit Fed Inflation Fight &amp; Powell Calms Markets""
@DawnoftheDAO #economics #CantillionEffects #education #goodvibes

Watch Now: https://t.co/0ifdElslHZ https://t.co/jMP9yX3COp","Check out our latest video ""WBB Macro Outlook Ep. 10 Non-Monetary Factors Limit Fed Inflation Fight &amp; Powell Calms Markets"" economics CantillionEffects education goodvibes Watch Now",NEGATIVE,"['latest', 'macro', 'outlook', NOT 'monetary', 'factor', 'limit', 'inflation', 'fight']"
joeem05,"Engineer, Investor, Speculator, Spiritualist, Wine Drinker 
:)",,https://pbs.twimg.com/profile_images/1301940646484336640/tDxIfkac_normal.jpg,,171,27,5747,2020-09-04 17:48:57,1499680041457881097,2022-03-04 09:35:59,71,0,,,,"FED'S POWELL: IF WE HAD KNOWN INFLATION WOULDN'T IMPROVE, WE WOULD HAVE USED TOOLS SOONER.","FED'S POWELL IF WE HAD KNOWN INFLATION WOULDN'T IMPROVE, WE WOULD HAVE USED TOOLS SOONER.",NEGATIVE,"['inflation', NOT 'improve', 'tool']"
pintidegiltutu1,"Kişisel finans, finansal bağımsızlık, sermaye piyasaları. MSc in Economics",https://t.co/o8efSg7LAH,https://pbs.twimg.com/profile_images/1183109476456509444/IJPW-Gk1_normal.jpg,,277,8856,4787,2019-10-12 19:22:35,1499680038471483394,2022-03-04 09:35:58,56,0,,,,"It is remarkable that $SPX is just 10% off all time highs with:

1. Fed ready to raise rates 5+ times

2. Aggressive Fed balance sheet reduction

3. Potential WW3

4. Oil prices well above $100

5. Inflation at 40-year highs

6. Major liquidity problems

This market is resilient.",It is remarkable that $SPX is just 10% off all time highs with 1. Fed ready to raise rates 5+ times 2. Aggressive Fed balance sheet reduction 3. Potential WW3 4. Oil prices well above $100 5. Inflation at 40-year highs 6. Major liquidity problems This market is resilient.,POSITIVE,"['balance sheet', 'remarkable', 'time', 'high', 'ready', 'raise', 'rate', 'aggress', 'reduction', 'potential', 'oil', 'inflation', 'liquidity', 'problems', 'resilient']"
Tian_A1,"""The best way to predict your future is to create it"" A. Lincoln #ArtificialIntelligence #AI #researcher #Handicap #Poor #Job #Unemployed",,https://pbs.twimg.com/profile_images/977871067883671552/E2ir3mkl_normal.jpg,Everywhere,1404,1553,422662,2016-01-23 13:06:53,1499679728390787084,2022-03-04 09:34:44,0,0,"['https://t.co/6Fv2YkR5sE', 'https://t.co/ed65UURylO']",,,#Derby's Take : Monetary Policy Rules Point to Fed Being Way Behind [ https://t.co/6Fv2YkR5sE ] Il y a 22heures Monetary policy rules show the Federal Reserve may be well behind the curve in its effort to cool inflation.A report this week from the Federal https://t.co/ed65UURylO,Derby's Take  Monetary Policy Rules Point to Fed Being Way Behind [ ] Il y a 22heures Monetary policy rules show the Federal Reserve may be well behind the curve in its effort to cool inflation.A report this week from the Federal,POSITIVE,"['monetary policy', 'show', 'federal', 'reserve', 'curvey', 'effort', 'cool', 'inflation', 'report']"
cjberdahl,Founding member of the DAL.  Dumb Ass League,,https://pbs.twimg.com/profile_images/1487544135540219906/iJx_U8SJ_normal.jpg,,67,8,97,2012-06-30 19:34:12,1499679607624290304,2022-03-04 09:34:15,13,0,['https://t.co/1XaSaxUAjp'],,,"""we should have moved earlier,” Powell said regarding taking steps to address #inflation as it began rising last year

Well, knock me over with a feather...

Never thought I'd hear the Fed admit fault

That said, why do these guys get to keep their jobs??

https://t.co/1XaSaxUAjp","""we should have moved earlier, Powell said regarding taking steps to address inflation as it began rising last year Well, knock me over with a feather... Never thought I'd hear the Fed admit fault That said, why do these guys get to keep their jobs??",POSITIVE,"['moved', 'early', 'regard', 'inflation', 'rising', 'hear', 'admit', 'fault', 'job']"
0xfbifemboy,"learning solidity and rust
follow along on my journey uwu #FreeZetaZeroes",https://t.co/D7tqyj5kxp,https://pbs.twimg.com/profile_images/1488046837697159168/d2ue6psh_normal.jpg,antarctica,360,3663,3276,2021-12-31 10:33:20,1499678948740923399,2022-03-04 09:31:38,0,0,,,['@PandaJacketGuy'],@PandaJacketGuy last I heard the Fed undershot inflation for an entire decade,last I heard the Fed undershot inflation for an entire decade,NEGATIVE,"['inflation', 'decade']"
gohjhb,From 🇸🇬. it’s a trap.,,https://pbs.twimg.com/profile_images/1468119393099870210/aB0SD0XW_normal.jpg,,731,43,565,2020-08-14 09:33:24,1499678753437646856,2022-03-04 09:30:52,622,0,,,,The Fed is going to fight inflation - and lose.,The Fed is going to fight inflation - and lose.,POSITIVE,"['fight', 'inflation', 'lose']"
booly_supply,Amplifying #procurement & #supplychain content. We use AI to detect procurement fraud and financial crime. $420M in business fraud prevented so far 🚀,https://t.co/CaARv5qW5i,https://pbs.twimg.com/profile_images/1457721485041278986/_c7TGVkb_normal.jpg,"London, United Kingdom",24,934,88318,2021-11-08 12:31:19,1499678625330827265,2022-03-04 09:30:21,1,0,"['https://t.co/tLO85NoSsL', 'https://t.co/Ej9JDXyTag']",,['@markfny'],"THE ECONOMY, PART 3/5 - Regional Fed Data Mixed as Prices Rise - with @markfny 

https://t.co/tLO85NoSsL

#BigOil #BigData #PVN #OOTT #economy #inflation #SupplyChain #EmergingMarkets #GDP #trade #CPI #debt #income #consumer #imports #exports #geopolitics #wages #housing https://t.co/Ej9JDXyTag","THE ECONOMY, PART 3/5 - Regional Fed Data Mixed as Prices Rise - with BigOil BigData PVN OOTT economy inflation SupplyChain EmergingMarkets GDP trade CPI debt income consumer imports exports geopolitics wages housing",POSITIVE,"['import export', 'economy', 'regional', 'rise', 'inflation', 'trade', 'debt', 'income', 'consumer']"
xglobalmarkets,"XGLOBAL Markets is a Multi-Regulated broker, offering Forex & CFD trading on +100 trading symbols in 5 account currencies. 53.33% of retail clients lose money.",https://t.co/jMFjcOsbHR,https://pbs.twimg.com/profile_images/462225619191746561/ewCAL35B_normal.png,Limassol,2634,4354,33376,2012-08-02 21:52:03,1499678425044377600,2022-03-04 09:29:33,0,0,,,,"#FED'S WILLIAMS: THE ECONOMY IS SOLID, BUT INFLATION RISKS ARE ON THE RISE.

FED'S #WILLIAMS: I BELIEVE THE FED IS CONCENTRATING ON RISK MANAGEMENT IN THE FACE OF UNCERTAINTY.

#XGlobalMarkets #US #inflation #economy","FED'S WILLIAMS THE ECONOMY IS SOLID, BUT INFLATION RISKS ARE ON THE RISE. FED'S WILLIAMS I BELIEVE THE FED IS CONCENTRATING ON RISK MANAGEMENT IN THE FACE OF UNCERTAINTY. XGlobalMarkets US inflation economy",NEGATIVE,"['in face', 'risk management', 'economy', 'solid', 'inflation', 'rise', 'believe', 'concentrate', 'uncertainty']"
MechelleUtz,Will I be found worthy? Will my Heavenly Father say “well done?” Or will He turn me away in shame? Jesus help me see what you see.,,https://pbs.twimg.com/profile_images/1275862406246301697/mLXbVqC8_normal.jpg,"Wichita, KS",435,134,2582,2012-05-17 17:08:39,1499678305682866176,2022-03-04 09:29:05,1169,0,,,,"Since August 20, 2021,

- Lumber is up over 157%

- Bitcoin is down over 13%

- US national debt increased to over $30 trillion

- Inflation jumped to over 7.5%, a 40 year high

- The Fed remains clueless

And stocks might soon crash.

Few understand this.

Click Follow for more","Since August 20, 2021, - Lumber is up over 157% - Bitcoin is down over 13% - US national debt increased to over $30 trillion - Inflation jumped to over 7.5%, a 40 year high - The Fed remains clueless And stocks might soon crash. Few understand this. Click Follow for more",POSITIVE,"['lumber', 'debt', 'increased', 'inflation', 'jumped', 'high', 'remain', NOT 'clue', 'stocks', 'crash', 'understand', 'click', 'follow']"
point7five,Futurist,,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,,224,8,996,2013-03-12 00:34:33,1499676679643754502,2022-03-04 09:22:37,0,0,,,"['@KPHouston24', '@kligerman_carl', '@CrispyNFresh64', '@DiMartinoBooth']","@KPHouston24 @kligerman_carl @CrispyNFresh64 @DiMartinoBooth This sums up the last 12 years of central bank thinking.  Central banker perchance?  Jokes aside, there's a decent chance that if the Fed doesn't raise to combat inflation they'll lose the bond market, which would be just as catastrophic.  So suicide or death.","This sums up the last 12 years of central bank thinking. Central banker perchance? Jokes aside, there's a decent chance that if the Fed doesn't raise to combat inflation they'll lose the bond market, which would be just as catastrophic. So suicide or death.",NEGATIVE,"['sum up', 'decent chance', 'banker', 'perchance', 'joke', NOT 'raise', 'combat', 'inflation', 'lose', 'catastrophic', 'suicide', 'death']"
LortJames,"Investing, trying to be less wrong, hunting for big winners & managing risk",,https://pbs.twimg.com/profile_images/1291464967955402757/Unt7FGYh_normal.jpg,,344,416,180,2017-04-05 15:35:57,1499676238532730881,2022-03-04 09:20:52,0,1,,,,What is happening in Ukraine is atrocious and far more important than the goings on in the stock market metaverse. Investing is personal so remains important. I cannot remember a worse backdrop for equities because the fed can't prop up asset prices while there is high inflation.,What is happening in Ukraine is atrocious and far more important than the goings on in the stock market metaverse. Investing is personal so remains important. I cannot remember a worse backdrop for equities because the fed can't prop up asset prices while there is high inflation.,NEGATIVE,"['hap', 'atrocious', 'important', 'remain', NOT 'remember', 'worse', 'backdrop', 'equity', 'asset', 'inflation']"
MOstwald1,"Chief Economist/Strategist ADM ISI, conference speaker, lecturer. Any views expressed solely my own. Rockernomics music stuff / playlists here: @IfMusicBe_Marc",,https://pbs.twimg.com/profile_images/651857956649238528/X2VYtTKE_normal.jpg,,4242,3026,46296,2012-02-18 09:28:07,1499675794905382916,2022-03-04 09:19:06,56,0,['https://t.co/WTRFCvIvIu'],,,And many of those recessions were  caused the Fed mistakenly tightening (or failing to ease) because of the inflation worries caused by the surging oil prices. https://t.co/WTRFCvIvIu,And many of those recessions were caused the Fed mistakenly tightening (or failing to ease) because of the inflation worries caused by the surging oil prices.,NEGATIVE,"['recession', 'mistakenly', 'tighten', NOT 'ease', 'inflation', 'worry', 'oil']"
DavidoHarryj,♥️♥️💕,,https://pbs.twimg.com/profile_images/1494086760703348736/Gnjn4qWU_normal.jpg,"Michigan, USA",26,3,207,2022-02-16 23:03:08,1499681609284526082,2022-03-04 09:42:13,85,0,,,,#Powell said he still supports a 1/4 point rate hike at the Mar. meeting and will start working on a plan to begin shrinking the balance sheet at some unknown future date. The fact that such a plan doesn't already exist proves the #Fed has no real intention of carrying one out!,Powell said he still supports a 1/4 point rate hike at the Mar. meeting and will start working on a plan to begin shrinking the balance sheet at some unknown future date. The fact that such a plan doesn't already exist proves the Fed has no real intention of carrying one out!,NEGATIVE,"['balance sheet', 'rate', 'hike', 'working', 'beg', 'unknown', NOT 'real']"
WQingXuan59,"Life is half brave, half surprise. SSI Mermaid Coach, AIDA free diving 2★, CarMode. I love researching crypto, but I only buy coins that I think are the best.",,https://pbs.twimg.com/profile_images/1499049540410015744/aG5aAMPO_normal.jpg,,128,635,8,2013-01-28 07:45:30,1499680136660197378,2022-03-04 09:36:21,0,0,,,,"I think that #BTC bull run is soaring, largely because covid has made central banks in many countries start printing a lot of money. The Fed's rate hike is basically certain, and the rate hike cycle usually causes the broader market to enter a downturn.","I think that BTC bull run is soaring, largely because covid has made central banks in many countries start printing a lot of money. The Fed's rate hike is basically certain, and the rate hike cycle usually causes the broader market to enter a downturn.",POSITIVE,"['bull', 'run', 'soaring', 'covid', 'printing', 'money', 'rate', 'hike', 'basically', 'certaine', 'cycle', 'enter', 'downturn']"
cryptoknight_n1,"Alpha. Anarchist. Allergic to authoritarianism and tyranny. ❤️Crypto ❤️Italy. 📈📊 “Power corrupts, and absolute power corrupts absolutely” - Lord Acton",,https://pbs.twimg.com/profile_images/1431028012561076229/2nHTQfNs_normal.jpg,,272,550,11566,2021-03-20 23:29:49,1499676792881303554,2022-03-04 09:23:04,228,0,,,,"For the first time during this crisis there are rumors the FED is internally considering forgoing the rate hike completely in March.

If this happens markets will rip.",For the first time during this crisis there are rumors the FED is internally considering forgoing the rate hike completely in March. If this happens markets will rip.,NEGATIVE,"['time', 'crisis', 'rumors', 'internally', 'consider', 'forgo', 'rate', 'hike', 'complete', 'hap', 'rip']"
RealAllinCrypto,Cardano Stake Pool: ALLIN - Crypto Is The Future And You Get The Opportunity To Capitalise Off It. Investor/Trader/NFT Collector,,https://pbs.twimg.com/profile_images/1488897294107918339/i602iUZD_normal.jpg,,312,6007,2245,2021-08-17 16:19:15,1499673452143382528,2022-03-04 09:09:48,0,0,,,['@GertvanLagen'],@GertvanLagen Triggering event being fed interest rate hike only being 25bips? And also what’s happening right now geopolitically typically being inflationary? Data today in the labour force in the uk should be interesting,Triggering event being fed interest rate hike only being 25bips? And also whats happening right now geopolitically typically being inflationary? Data today in the labour force in the uk should be interesting,POSITIVE,"['event', 'interest rate', 'hike', 'hap', 'geopolitically', 'typically', 'inflationary', 'force', 'interest']"
seankwonlondon,Christian Worshipper couple from London UK 🇬🇧 and Incheon South Korea 🇰🇷 https://t.co/lLqXpulwyY,https://t.co/lLqXpulwyY,https://pbs.twimg.com/profile_images/1484447457446887424/_7zQ3f8d_normal.jpg,London,140,53,337,2010-01-18 14:31:47,1499676200012189697,2022-03-04 09:20:43,23,0,,,,"Following FOMC today, market will likely realise: 1) Fed will begin to taper - and soon! 2) Tapering is not tightening (bubble can inflate further - weeks/months. And down the road…. 3) This is first step on  tapering/hiking cycle which will eventually pop the Everything Bubble","Following FOMC today, market will likely realise 1) Fed will begin to taper - and soon! 2) Tapering is not tightening (bubble can inflate further - weeks/months. And down the road. 3) This is first step on tapering/hiking cycle which will eventually pop the Everything Bubble",POSITIVE,"['follow', 'real', 'beg', 'taper', NOT 'tighten', 'bubble', 'inflate', 'hiking', 'cycle', 'eventually', 'pop']"
U_Ag_,Uranium☢️ bull🐂. Also like silver. We’re in an epic commodity super-cycle - what a time to be alive. ⚠️Always DYOR⚠️,,https://pbs.twimg.com/profile_images/1498289971576201221/2jMfT802_normal.jpg,,187,672,2224,2021-01-09 23:51:30,1499661178745733120,2022-03-04 08:21:02,0,3,['https://t.co/5daoHyMtbU'],,,"#Rate #FOMC #Fed

Wow, market now giving it remote chance of no hike in March 😮 https://t.co/5daoHyMtbU","Rate FOMC Fed Wow, market now giving it remote chance of no hike in March",POSITIVE,"['rate', 'wow', 'giving', 'remote', 'chance', NOT 'hike']"
litefinanceeng,"Official page of the #LiteFinance broker. Here we share news, analyses, signals, and sometimes #memes. Join us and open account: https://t.co/fRnnLp4U5I",https://t.co/zSgv5RJl0H,https://pbs.twimg.com/profile_images/1384833882994917376/S-sfNiZ9_normal.jpg,Worldwide,27,10763,14939,2010-09-28 11:07:37,1499649507675549696,2022-03-04 07:34:39,0,0,"['https://t.co/FjKPtgvK21', 'https://t.co/nD41x4txuD']",,,"Dollar: better tomorrow than now. Forecast as of 04.03.2022

To buy dollars one needs opportunities. And there will be more opportunities if the Fed raises the rate by half a point in May and June, rather than at the FOMC March meeting. Let us discu…
https://t.co/FjKPtgvK21 https://t.co/nD41x4txuD","Dollar better tomorrow than now. Forecast as of 04.03.2022 To buy dollars one needs opportunities. And there will be more opportunities if the Fed raises the rate by half a point in May and June, rather than at the FOMC March meeting. Let us discu",POSITIVE,"['dollar', 'better', 'forecast', 'buy', 'needy', 'raises', 'rate']"
infopap,Information is King.,,https://pbs.twimg.com/profile_images/1188518539898044417/uLvkwqmR_normal.jpg,Kenya,698,750,42939,2010-05-11 16:36:17,1499611297125593088,2022-03-04 05:02:49,2,0,['https://t.co/G8z8XJe1Fr'],,,Chair Jerome Powell said the Federal Reserve will proceed with a 25 basis point rate hike at the upcoming FOMC meeting. https://t.co/G8z8XJe1Fr,Chair Jerome Powell said the Federal Reserve will proceed with a 25 basis point rate hike at the upcoming FOMC meeting.,POSITIVE,"['federal', 'reserve', 'proceed', 'rate', 'hike']"
no_pullbacks,No pullbacks in inflation! The #Fed ALWAYS plunge protects the major stock indices until proven otherwise. Buy every dip as long as it keeps working.,,https://pbs.twimg.com/profile_images/1241574223996428289/sDr6oME8_normal.jpg,,2001,8697,153227,2009-10-11 18:22:32,1499586496298377220,2022-03-04 03:24:16,1,0,,,,"Poll:  How complacent is the #Fed on #inflation ? 

 #powell #FOMC",Poll How complacent is the Fed on inflation ? powell FOMC,POSITIVE,"['poll', 'complacent', 'inflation']"
